"title","date_posted","deadline","poster","field","location","job_type","industry","minimum_qualification","experience_level","responsibilities","qualifications","benefits","application_method"
"Programme Development and Funding Manager Africa Surge",2019-04-11,NA," Christian Aid","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Christian Aid career website on jobs.christianaid.org.uk to apply"
"Snapchat – Account Executive",2019-04-11,NA," Ad Dynamo International","Sales / Marketing  ","Nairobi","Full Time"," Internet / E-commerce","BA/BSc/HND   ","
3 years ",NA,"
Digital media sales experience
Passion for tech innovation
Good presentation skills – both spoken & written
Good numerical skills & attention to detail
Ambitious and positive self starter attitude
",NA,"Interested and qualified? Go to Ad Dynamo International career website on addynamo.workable.com to apply"
"Warehousing & Distribution Supervisor",2019-04-11,NA," Maersk Line","Procurement / Store-keeping / Supply Chain  ","Nairobi","Full Time"," Logistics and Transportation","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Maersk Line career website on jobsearch.maersk.com to apply"
"Senior Business Incubator (SBI) Officer",2019-04-10,2019-04-18," Action Africa Help","ICT / Computer  ","Turkana","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
5 years ",NA,NA,NA,"Interested candidates should email application letters and CVs (with 3 referees) addressed to recruitkenya@actionafricahelp.org to be received by 18th April, 2019. The email Subject Line must show the job title of the position applied for. AAH-K is an equal-opportunity employer. We thank candidates for their high interest in the opportunities we publish on our website. Due to the high number of applications we receive, we will only get back to shortlisted candidates. AAH-K does not charge a fee at any stage of the recruitment process nor does it use recruitment agents. Selection will be done on a rolling basis."
"Mechanic/Welder",2019-04-10,2019-04-18," Action Africa Help","Engineering / Technical  ","Turkana","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
3 years ","
Operates oxyacetylene and electric arc welding machines in cutting and welding and also carry out fabrication work
Cuts, welds, brazes and solders metal parts in the repair and replacement of parts for mechanical equipment, or in the repair, replacement or installation of structural steel;
Ensure proper repair of punctured tires and recommend if the inner tubes or tires need to be replaced.
Distinguish uneven tire wear on the vehicle and recommend if there is a need for suspension repair or wheel alignment.
Keep the workshop section clean at all time.
Ensure safekeeping of assigned tools
To update vehicles/generators repair schedule.
Perform vehicle repair such as mechanical/electrical and accessories and will check thoroughly any signs of malfunctioning.
Carry out all major breakdown, diagnose faults, overhaul engines, gearboxes, transmissions, differentials, and other mechanical components and carryout task in proper procedures.
Retrieve/repair/rescue broken down vehicles in the field and provide defects reports.
Request for spare parts; requisitions must be approved by the supervisor.
Take responsibility of approved spares and work in progress for intended purpose.
Get the repair of vehicles/equipment first time right to avoid down time and repeat work. 14. To consistently deliver high quality repairs in the required timeframes
Ensure workshop safety rules and procedures are followed and use of right tools and equipment for the right job.
Interpret instructions, technical manuals, illustrations, specifications, diagrams, schematics and other guides in conducting repairs and modifications.
Ensure skilled usage of measuring instruments and test equipment
Diagnose vehicles with problem.
Ensure proper parts are fitted and quality of work is maintained.
Will check, test, and calibrate nozzles.
Will ensure working under safe conditions and to avoid risk causing injury to himself and others as well as damaged to the equipment.
Develop skills and training for users of 4wd vehicles, safety driving, on and off road operations.
Responsible for the Workshop assigned tools and equipment and to make sure that they use carefully and are well clean at all times.
Report on vehicle files, repairs carried out for future reference records.
Ensure that lubricant and other liquid solutions are filled/topped up/added only the right quantity.
Ensure proper use and responsibility of assigned workshop tools and equipment, proper safe keeping, clean tools & equipment and proper workshop housekeeping every day.
Will carry out fabrication/rebuilding/welding and repairs on vehicle component with limited resources.
Will attend routine servicing and maintenance to project vehicles, generators, pumps, and others.
Be prepared to travel on frequent basis from Logistic base and other field offices to fulfill this tasks outlined in this job description. This will entail traveling and living under difficult environmental conditions.
Will perform and carry out other duties/ jobs that may be assigned from time to time as normal routine duties
","
Relevant diploma in mechanical engineering/ Grade 1 technician (Welding and fabrication/Automotive option).
Driving license class B,C & E
Relevant experience in general welding, motor vehicle repairs, generators, plant and equipment.
Demonstrated multi skilling in mechanics, Auto Electrics/electronics, welding and fabrication works is a great advantage.
Relevant experience in spare parts management.
Notions in computer literacy / data processing (Word, Excel, Access)
English read / written / Spoken
",NA,"Interested candidates should email application letters and CVs (with 3 referees) addressed to recruitkenya@actionafricahelp.org to be received by 18th April, 2019. The email Subject Line must show the job title of the position applied for. AAH-K is an equal-opportunity employer. We thank candidates for their high interest in the opportunities we publish on our website. Due to the high number of applications we receive, we will only get back to shortlisted candidates. AAH-K does not charge a fee at any stage of the recruitment process nor does it use recruitment agents. Selection will be done on a rolling basis."
"Auto Mechanic",2019-04-10,2019-04-18," Action Africa Help","Engineering / Technical  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
2 years ","
Carry out mechanical/electrical preventive maintenance and repair of vehicles, plant and equipment including but not limited to Isuzu trucks, 4x4 vehicles, and heavy vehicles of various makes, types and models.
Carry out overhaul of engines, transmissions, differentials, hydraulic pumps, repair electronic and computerized vehicle gadgets, air brakes and mobile air Conditioning systems.
Perform vehicle repair such as mechanical/electrical and accessories and will check thoroughly any signs of malfunctioning.
Retrieve/repair/rescue broken down vehicles in the field and provide defects reports.
Request for spare parts; requisitions must be approved by the supervisor.
Take responsibility of approved spares by ensuring proper parts are fitted, high quality of work is maintained for intended purpose.
Get the repair of vehicles/equipment first time right to avoid down time and repeat work.
To consistently deliver high quality repairs in the required timeframes
Ensure workshop safety rules and procedures are followed and use of right tools and equipment for the right job.
Interpret instructions, technical manuals, illustrations, specifications, diagrams, schematics and other guides in conducting repairs and modifications.
Ensure skilled usage of measuring instruments and test equipment
Diagnose vehicles with problem.
Will check, test, and calibrate nozzles.
Will ensure working under safe conditions and to avoid risk causing injury to himself and others as well as damaged to the equipment.
Develop skills and training for users of 4wd vehicles, safety driving, on and off road operations.
Report on vehicle/Equipment job card, repairs carried out for future reference records.
Ensure that lubricant and other liquid solutions are filled/topped up/added only the right quantity.
Ensure proper use and responsibility of assigned workshop tools and equipment, proper safe keeping, clean tools & equipment and proper workshop housekeeping every day.
Will carry out fabrication/rebuilding/welding and repairs on vehicle component with limited resources.
Will attend routine servicing and maintenance to project vehicles, generators, pumps, and others.
Ensure proper repair of punctured tires and recommend if the inner tubes or tires need to be replaced.
Distinguish uneven tire wear on the vehicle and recommend if there is a need for suspension repair or wheel alignment.
To update vehicles/generators repair schedule.
Be prepared to travel on frequent basis from Logistic base and other field offices to fulfill this tasks outlined in this job description. This will entail traveling and living under difficult environmental conditions.
Will perform and carry out other duties/ jobs that may be assigned from time to time as normal routine duties
","
Diploma in mechanical engineering (Automotive option).
Driving license class B, C & E
Relevant experience in motor vehicle repairs, generators, plant and equipment.
Valid certificate of good conduct.
Demonstrated multi skilling in mechanics, Auto electrics/electronics, welding and fabrication works is a great advantage.
Relevant experience in spare parts management.
Knowledge in computer literacy / data processing (Word, Excel, Access)
English read / written / Spoken
",NA,"Interested candidates should email application letters and CVs (with 3 referees) addressed to recruitkenya@actionafricahelp.org to be received by 18th April, 2019. The email Subject Line must show the job title of the position applied for. AAH-K is an equal-opportunity employer. We thank candidates for their high interest in the opportunities we publish on our website. Due to the high number of applications we receive, we will only get back to shortlisted candidates. AAH-K does not charge a fee at any stage of the recruitment process nor does it use recruitment agents. Selection will be done on a rolling basis."
"Workshop Supplies Technician",2019-04-10,2019-04-18," Action Africa Help","Engineering / Technical  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,"
Store & stock Management

Workshop Spare Part Store Management
Manage the spare part store (Store organization and space utilization).
Manage the spare part stock (supervision of spare parts movements and control of stocks)
Responsible and to organize stock security (Accountable for the spare parts in stock in the stores).
Responsible for the completion of the workshop documents and other related matters according to SOPs recommendations.
Ensure and maintain proper inventory system(kardex) and all parts issued/received are reflected immediately on to the stock card on a daily basis.
Records all shipments of spareparts in-coming and checks with the packing list and provides information of any over, lost and damaged item.
Take the responsibility of the stock only on the base of an effective / documented and signed inventory.
Be the only person in possession of the store keys (copy are kept celled in a coffer).
Be responsible to complete properly the Reception Slip / Issuing Slip / Stock Cards from All other stock related documents (and to sign them if written delegation of responsibility from the Workshop Supervisor).
Keep and file a copy of each document relative to a stock movement or adjustment.
Be responsible for / Insure discipline and security in the Spare Part Store (Strict limitation of access in the Store).


Reporting

Report immediately stock movement information to the LMIS and ICT officer.
Establish strong working coordination with the workshop key staff (specially the Purchasing Officer to limit shortage and the LMIS and ICT Officer
Transmit systematically and immediately to the LMIS and ICT Officer the required documents for registration in the database.
Produce stock analyses, documents, and reports upon request of management.
Inform immediately management of any fact that can have serious impact on the Spare Part Store activity.
Establish permanent exchange with other workshop key staff. g) This job descriptions are not exclusive, it may include other task/job that may be assigned from time as a normal routine duties.


Store/Tool Management

Organize and optimize the available store space to facilitate the storage and flux of parts in the store. Take appropriate action if space is becoming insufficient.
Insure the proper cleaning of the store.
Take appropriate actions to improve spare part storage in the perspective of an improvement of the stock management (in coordination with the workshop manager).
Organize the security of the stock by taking all appropriate measures. Limit stricly access to the Spare Part Store to authorized staff (Workshop Supervisor and Store Clercs). No unauthorize persons should be allowed in the stores at anytime for the security of the stores and assets inside the stores
Organize the transparent and efficient storage of old parts. Ensure that dispatching of spares to the sub- offices are done in a timely manner. Prepares all spare parts requisitions/receiving forms/way bills/issue vouchers and job cards duly filled before the parts are issued or distributed. Arrange and keep all parts/tools in a systematic manner so that easy accessibility are maintained and avoid duplicating orders.


Stock management

Read and understand standard workshop SOPs / tools and system.
Insure that SOPs / management and monitoring tools / Systems related to spare parts management are functioning.
Insure the proper reception of parts.
Insure the proper storage of parts and the management of locations. e) Insure the proper delivery / transfert of parts. f) Establish spare part purchasing request to recomplete the stock.


Stock control
Establish strong collaboration with the LMIS and ICT Officer to insure that PMS stock is reflecting the physical stock (all documents properly registered) and the Purchasing service to anticipate receptions and accelerate purchasing request.
Insure the daily stock control of moved parts (parts received and issued during the day)
Insure a regular statistical control on a relevant % of the stock at least every 2 months.
Organize 2 times a year a total stock inventory (external control to be organized by the Workshop Manager).
For each control, proceed systematically with a stock reconciliation (balance between physical / stock card and PMS stock)
Inform the workshop Supervisor of any discrepancies / trace causes / request the authorization for a stock adjustment. Make sure that stores information will not be revealed to non-AAHI person at any time- any critical information should not be release to unauthorize person for confidentiality and require approval from the office.
",NA,NA,"Interested candidates should email application letters and CVs (with 3 referees) addressed to recruitkenya@actionafricahelp.org to be received by 18th April, 2019. The email Subject Line must show the job title of the position applied for. AAH-K is an equal-opportunity employer. We thank candidates for their high interest in the opportunities we publish on our website. Due to the high number of applications we receive, we will only get back to shortlisted candidates. AAH-K does not charge a fee at any stage of the recruitment process nor does it use recruitment agents. Selection will be done on a rolling basis."
"Health and Nutrition Technical Lead",2019-04-10,2019-04-10," Save the Children","Medical / Health  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Save the Children career website on www.aplitrak.com to apply"
"Sales Representative",2019-04-10,2019-04-28," Janta Kenya","Sales / Marketing  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","   ","
1 - 5 years ","
Great sales attitude with at least 1 year experience in FMCG industry
Updated Driving License with 5 years driving experience.
Thorough knowledge of Nairobi and its environs
Business oriented (Agribusiness is an added advantage)
Recent certificate of good conduct (at the very least proof of application)
Flexibility on location
Ability to work long hours
Should be aware about same day deliveries of perishable goods
High integrity
Can work without Supervision.
Ladies are encouraged to apply.
",NA,NA,"If qualified kindly send your CV to vacancies@jantakenya.com clearly indicating “SALES REPRESENTATIVE WITH DRIVING EXPERIENCE” on the subject line by 28th April 2019."
"M&E Officer",2019-04-10,2019-04-19," Farm Africa","Agriculture/Agro-Allied  
NGO/Non-Profit  ","Kisumu","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
2 years ","
Support the project team and Senior Project Officer in reviewing data collection tools to ensure accurate and consistent data is collected
Work with the team to integrate M&E activities into project work plans for all relevant staff and stakeholders (including external partners)
","
University degree in project monitoring and evaluation, Aquaculture, agribusiness management, agricultural Economics, or any related field.
Training in Aquaculture
Knowledge & practical experience of farmer participatory research
At least 2 years of experience in M&E role Experience in designing tools and protocols for data collection, analysis and production of reports
Experience in analyzing data using Excel Experience in analyzing data using any statistical software
Knowledge of ODK and/or GIS software packages
Familiarity with the Log frame approach to results based monitoring
Experience in the aquaculture and fisheries industry
Experience carrying out focus group discussions and using other qualitative tools for data collection
",NA,"If you meet the above requirements for this position, send your cover letter indicating the title of the position on the subject line and the expected salary along with an updated CV with email and telephone contacts of three professional referees to: Email: kenyarecruitment@farmafrica.org and copy KMAP@farmafrica.org before 5.00pm on 19th April 2019."
"Business Unit Manager - Operations",2019-04-10,NA," JF Hillebrand","Logistics  ","Nairobi","Full Time"," Logistics and Transportation","BA/BSc/HND   ","
10 years ",NA,NA,NA,"Interested and qualified? Send in your application by clicking the Apply button below"
"Credit Analyst",2019-04-10,2019-04-18," Underwriting Africa","Finance / Accounting / Audit  ","Nairobi","Full Time"," Insurance / Investments","BA/BSc/HND   ","
5 years ",NA,NA,NA,"If you’re interested in either of the above position, send your application pack including cover letter and Current CV with references and salary expectation to : talktous@underwritingafrica.com"
"Hospitality Lecturer",2019-04-10,2019-04-19," Mahanaim Educational Institu","Education / Teaching  
Hospitality / Hotel / Restaurant  ","Nairobi","Full Time"," Education / Teaching / Information","BA/BSc/HND   ","
2 years ",NA,NA,NA,"All qualified candidates should send their applications and a detailed CV to hr@mei.ac.ke by 19th April 2019. Only shortlisted candidates will be contacted. The interview will be continuous every time a qualified candidate applies"
"Pharmacy Technologist",2019-04-10,NA," Ledar Pharmacy Ltd.","Pharmaceutical  ","Nairobi","Full Time"," Pharmaceuticals","BA/BSc/HND   MBA/MSc/MA   ","
1 year ",NA,"
A Diploma in Pharmacy/Pharmaceutical Technology from a recognized Institution
Enrollment Certificate from Kenya’s Pharmacy & Poisons Board (Mandatory)
Valid Practice license (if currently employed)
",NA,"If you meet the above requirements, send your Curriculum Vitae with email address/phone contacts of Three Referees, Cover Letter stating expected Salary, and scanned Educational and regulatory certificates to ledarpharmacy@gmail.com with email subject PHARMACEUTICAL TECHNOLOGIST"
"Direct Sales & Group Lending Agent",2019-04-10,NA," Moto Hope Microlending","Sales / Marketing  ","Kitale, Nairobi, Nakuru","Full Time"," Banking / Financial Services","BA/BSc/HND   ",NA,"
Research on/propose new market opportunities and techniques for lead generation.
Meet with clients in person to drive sales.
Pitch and explain our various financial services to prospective customer.
Conduct comprehensive customer education and respond to possible questions about products.
Guide and advice clients to buy products that best suit them.
Conduct loan appraisals and make recommendations to the branch credit committee.
Keenly seek customer feedback on our products and services and report the same to the Relationship Officer on a regular basis.
Provide daily sales reports.
Any other duties as may be assigned from time to time
","
Certificate/Diploma in any field from a recognized institution
Previous experience in direct sales within the financial service industry will be an added advantage.
Computer literacy.
",NA,"Send your CV and cover letter including day-time contacts to: careers@motohopemicrolending.org Highlight the position title and the branch of MHML you would like to work in on the subject line of your email."
"Experienced Commercial Truck Driver",2019-04-10,2019-04-13," AAA Growers","Transportation and Driving  ","Nairobi","Full Time"," Agriculture / Agro-Allied","   ","
5 years ",NA,NA,NA,"If you can clearly demonstrate the above-mentioned skills, please email your CV to: recruitment@aaagrowers.co.ke"
"Operations Accountant - FMCG",2019-04-10,2019-04-16," Corporate Staffing","Finance / Accounting / Audit  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ","
5 - 8 years ","
Executes day to day accounting activities in accordance with the organization’s accounting policies and procedures.
Ensure accurate and timely recording of all retail & trade spending, Advertising and Promotion, Research
Hands on operation function to ensure smooth business process, liaising with suppliers, financial institutions, government agencies etc.
Coordinate with Commercial Team to get documented approvals and backup for accruals
Ensuring timely payment of local suppliers, international and intercompany payments
Timely collection of receivables, credit control and bad debt
Adherence with local Kenya regulations in terms of cross border payments and receipts – ensuring all contracts are valid
Analysis of cash and banking facilities
Efficient and agile close process – work day 3 close
Balance Sheet Reconciliation with detailed review of aging receivables, payables and fixed assets with regular reporting – Monthly, Quarterly & Year End
Extensive knowledge on budgeting, cashflow projections, sources of financing
Coordinate with the External Audit Team
Timely submissions of tax, statutory payments in line with local law and corporate governance
","
Bachelor’s degree in Accounting, Commerce, Finance, Economics or equivalent qualification
5-8 years’ experience in in technical finance and/or accounting roles, with a demonstrated track record optimizing company operations
Registration with a professional body – ACCA, CPAK, ICPAK, CIFA
Strong leadership skills and ability to influence decisions at an executive level.
Demonstrated ability to build and maintain relationships with people at all levels and who represent a variety of diverse backgrounds.
Demonstrated professional competence and administrative capability as reflected in work performance and results
Highly self-motivated individual with the capacity to get-things done, with a lean team.
Integrity and superior communication skills
Demonstrated ability to manage change for oneself and for others.
Familiarity with US GAAP and IFRS reporting, ideally work experience with exposure to international business, FMCG, Manufacturing etc
",NA,"If you are up to the challenge, possess the necessary qualification and experience; please send your CV only quoting the job title on the email subject  to jobs@corporatestaffing.co.ke before 16th April 2019"
"Telesales Representative",2019-04-10,2019-04-12," Kapari Kenya","Customer Care  ","Nairobi","Full Time"," Sales / Marketing / Retail","BA/BSc/HND   ","
1 year ","
Contact potential or existing customers to inform them about the products
Answer questions about the products or the company
Ask questions to understand customer requirements and close sales
Direct prospects to the field sales team when needed
Enter and update customer information in the database
Take and process orders in an accurate manner
Handle grievances to preserve the company’s reputation
Help to meet sales targets and facilitate future sales
Keep records of calls and sales and note useful information
Answer questions about the products and the company and also understand customer requirements and close sales.
","
A diploma in marketing or a Business Related Course or equivalent
A minimum of 1 year experience as telesales representative or related sales experience preferred
Competency in Microsoft applications including Word, Excel and Outlook
Strong phone and verbal communication skills along with active listening
Ability to learn about products and services and describe/explain them to prospects
Excellent knowledge of English
Cool-tempered and able to handle rejection
Customer focus and adaptability to different personality types
Outstanding negotiation skills with the ability to resolve issues and address complaints
",NA,"Those interested and are immediately ready to take up the position should send their applications & detailed CV clearly indicating their expected remuneration, daytime telephone contacts and addresses of three referees to jobs@kapari.co.ke on or before Friday 12th April, 2019."
"Operation Coordinator Assistant",2019-04-10,2019-04-19," Flexi-Personnel","Administration / Secretarial  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ",NA,"
Coordinate meetings and correspondence between Management and Branches
Assist in the preparation of regularly scheduled reports
Develop and maintain a filing system
Update and maintain office policies and procedures
Order office supplies and research new deals and suppliers
Maintain contact lists locally and overseas
Book travel arrangements
Submit and reconcile expense reports
Assist in resolving any administrative problems
Provide general support to overseas branches
Act as the point of contact for internal and external clients
Liaise with executive and senior administrative assistants to handle requests and queries from senior managers
",NA,NA,"To apply, send your CV and cover letter only to executive@flexi-personnel.com before close of business 19th April 2019."
"Area Sales Manager – Central Region",2019-04-10,2019-04-30," Lee & Myles Consulting Limited","Sales / Marketing  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ","
5 years ",NA,"
Degree in sales and Marketing or any other applicable business degree
At least 5 years’ experience in FMCG Industry with a bias on building materials (Paint, Cement etc)
Candidates with experience in similar role in building industry will have an advantage
Experience working within Central Region required.
Strong personality with proven track leading regional sales teams
Provable track record driving ambitious sales targets
An operations superstar with expert understanding of the distribution channels and models within the industry
",NA,"If you believe that you meet the criteria set above and meet the threshold for this position, please sent us your CV to info@leeandmyles.com clearly stating the job position on the subject of the mail."
"Customer Relations Officer",2019-04-10,2019-04-30," Lee & Myles Consulting Limited","Customer Care  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ","
5 years ",NA,"
Business degree or equivalent
5 years’ experience in an administrative role in a busy customer oriented environment
People management skills
An eye for detail
Strong customer service orientation
Assertive and an execution superstar
Outgoing
",NA,"If you believe that you meet the criteria set above and meet the threshold for this position, please sent us your CV to info@leeandmyles.com clearly stating the job position on the subject of the mail."
"E-Commerce Developer",2019-04-10,2019-04-19," Indepth Research Services (IRES)","ICT / Computer  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified applicants must provide current CVs, with telephone and e-mail contacts; addresses of three referees, and a cover letter with the above points to hr@indepthresearch.org by close of business 19th April 2019."
"Digital / Online Advertising Specialist",2019-04-10,2019-04-19," Indepth Research Services (IRES)","Media / Advertising / Branding  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ","
2 years ",NA,NA,NA,"Interested and qualified applicants must provide current CVs, with telephone and e-mail contacts; addresses of three referees, and a cover letter with the above points to hr@indepthresearch.org by close of business 19th April 2019."
"Accounting Internship",2019-04-10,2019-04-23," Central Bank of Kenya","Finance / Accounting / Audit  
Graduate Jobs / Internships  ","Nairobi","Full Time"," Banking / Financial Services","BA/BSc/HND   ",NA,NA,"
A first degree from a recognized university in any of the following disciplines: Micro-Finance or a Master’s degree in a relevant field;
Be a Kenyan youth between 21 to 29 years of age;
Must have graduated within the last 24 months from the closing date of the advertisement and/or awaiting graduation;
Provide a recommendation/reference letter from the university attended; and
Should not have undertaken any other Internship programme or exposed to work experience related to their area of study since graduating.
",NA,"The Central Bank hereby invites applications from qualified candidates for the internship program. Opportunities are currently available in the following functions; Finance, Research and Economics, Strategic Management, Communications and Legal Services. If interested follow the link below and submit online applications, attaching a duly completed program application form, copies of academic certificates, transcripts/documents and a recommendation/reference letter from the learning institution, so as to be received on or before April 23, 2019."
"Micro-Finance Internship",2019-04-10,2019-04-23," Central Bank of Kenya","Finance / Accounting / Audit  
Graduate Jobs / Internships  ","Nairobi","Full Time"," Banking / Financial Services","BA/BSc/HND   ",NA,NA,"
A first degree from a recognized university in any of the following disciplines: Micro-Finance or a Master’s degree in a relevant field;
Be a Kenyan youth between 21 to 29 years of age;
Must have graduated within the last 24 months from the closing date of the advertisement and/or awaiting graduation;
Provide a recommendation/reference letter from the university attended; and
Should not have undertaken any other Internship programme or exposed to work experience related to their area of study since graduating.
",NA,"The Central Bank hereby invites applications from qualified candidates for the internship program. Opportunities are currently available in the following functions; Finance, Research and Economics, Strategic Management, Communications and Legal Services. If interested follow the link below and submit online applications, attaching a duly completed program application form, copies of academic certificates, transcripts/documents and a recommendation/reference letter from the learning institution, so as to be received on or before April 23, 2019."
"Management Internship",2019-04-10,2019-04-23," Central Bank of Kenya","Administration / Secretarial  
Graduate Jobs / Internships  ","Nairobi","Full Time"," Banking / Financial Services","BA/BSc/HND   ",NA,NA,"
A first degree from a recognized university in any of the following disciplines: Management or a Master’s degree in a relevant field;
Be a Kenyan youth between 21 to 29 years of age;
Must have graduated within the last 24 months from the closing date of the advertisement and/or awaiting graduation;
Provide a recommendation/reference letter from the university attended; and
Should not have undertaken any other Internship programme or exposed to work experience related to their area of study since graduating.
",NA,"The Central Bank hereby invites applications from qualified candidates for the internship program. Opportunities are currently available in the following functions; Finance, Research and Economics, Strategic Management, Communications and Legal Services. If interested follow the link below and submit online applications, attaching a duly completed program application form, copies of academic certificates, transcripts/documents and a recommendation/reference letter from the learning institution, so as to be received on or before April 23, 2019."
"Marketing & Communication Executive",2019-04-10,2019-04-18," Software Technologies Limited (STL)","Media / Advertising / Branding  ","Nairobi","Full Time"," ICT / Telecommunication","BA/BSc/HND   ","
2 - 3 years ","
Assist in Developing and reviewing Marketing and Communications Strategy
Organize and oversee advertising campaigns through social media, exhibitions, promotional events and main stream media.
Run social media channels to enhance audience engagement.
Planning all Marketing and communications to help drive sales and brand awareness
Planning and implementing the events and conferences calendar
Conduct market research and analysis to evaluate trends, brand awareness and competition
Initiate and control surveys to assess customer requirements and dedication. This includes performing case studies
Enforcing brand guidelines
Creating partnerships and collaborations that elevate the brand
Copywriting
Driving and creating content of marketing materials which includes:

Brochures
Case studies
Power Point Presentations 
Videos and animations
Press releases
Blogs
News letters
Website, social media content


",NA,NA,"Please submit your CV to hr@stl-horizon.com with “Marketing and Communication Executive” on the subject line by 18th April 2019."
"System Administrator",2019-04-10,2019-04-10," Gitech Computer Systems","ICT / Computer  ","Nairobi","Full Time"," ICT / Telecommunication","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Gitech Computer Systems career website on www.linkedin.com to apply"
"Monitoring, EvaluatMonitoring, Evaluation, Accountability and Learning (MEAL) Managerion, Accountability and Learning (MEAL) MANAGER",2019-04-10,2019-04-22," Adventist Development and Relief ","NGO/Non-Profit  
Research / Data Analysis  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
7 years ",NA,NA,NA,"If you meet the above requirements, please send your application to hr@adrasom.org not later than 22nd April 2019. Only short-listed candidates will be contacted.Please apply using a cover letter and up-to-date CV as a single document. Applicants to provide current and expected salary."
"Hotel Manager",2019-04-10,2019-04-30," Multimedia University of Ken","Hospitality / Hotel / Restaurant  ","Nairobi","Full Time"," Education / Teaching / Information","BA/BSc/HND   ",NA,"
Reporting to MMU Hotel and Conference Centre Board, an officer at this level will head the Hotel and Conference Centre. Duties and responsibilities at this level will entail:
Overseeing development and implementation of hotel policies and standards;
Providing accommodation and conference services;
Maintaining records of all hotel equipment, machine, tools and material;
Directing the daily operations of hotel services;
Ensuring general welfare of clients;
Facilitating workflow in the hotel services;
Reviewing customer feedback and taking appropriate action;
Promoting and marketing hotel services;
Controlling of stock and inventory;
Ensuring compliance with licensing laws, occupational safety and health requirements and other statutory regulations;
Maintaining nutritional standards in menus;
Overall supervision of catering and housekeeping services in the hotel;
Ensuring maintenance of quality in hotel services
Managing hotel budgets and controlling expenditure;
Setting sales and profit targets for the hotel service;
Leading the team in the development of menus, product lines;
Overseeing maintenance of statistical and financial records; and
Managing and developing staff;
","
Served in the grade of Assistant Manager, Hotel Services or its comparable position for a minimum period of three (3) years;
Bachelor’s degree in any of the following disciplines:- Hotel and Hospitality Management; Hotel and Catering Management; Hotel and Institutional Management or equivalent qualification from a recognized institution;
Master’s degree in any of the following disciplines:- Hotel and Hospitality Management; Hotel and Catering Management; Hotel and Institutional Management or equivalent qualification from a recognized institution;
Certificate in Computer application skills course from a recognized institution;
Have Certificate in Strategic Leadership/Governance Course lasting not less than six (6) weeks from a recognized institution;
Worked in a Four Star Hotel at a Senior Management level for at least three years with proven excellent performance;
Valid Certificate of Health for food Handlers; and
Demonstrated merit and ability as reflected in work performance and results.
Those with Bachelor’s degree in any of the following disciplines:- Hotel and
Hospitality Management; Hotel and Catering Management; Hotel and
Institutional Management, Operations Management or equivalent qualification from a recognized institution and a Diploma in Hotel Management, Food
Technology from Utalii College or equivalent plus at least 12 years’ experience in
Hotel Management, three of which must be at a Senior Management level in a
Four Star Hotel with proven excellent performance are encouraged to apply.
",NA,"Interested applicants should submit ten (10) copies of their applications with detailed curriculum vitae, e-mail address, telephone contacts, postal address, current post, copy of current pay slip, certified copies of academic, professional certificates and testimonials. They should provide clearance certificates from the following organizations:"
