"title","date_posted","deadline","poster","field","location","job_type","industry","minimum_qualification","experience_level","responsibilities","qualifications","benefits","application_method","diff_days"
"Data Demand and Information Use (DDIU) & Data Analytics Specialist",2017-12-22,NA,"Path","ICT / Computer +NGO/Non-Profit +",NA,"Full Time","NGO / Non-Profit Associations","MBA/MSc/MA <U+00A0>","

5 years","

Bachelor degree in computer system or management information systems or any health related degree with health informatics experience preferred.

A Master<U+0092>s degree is an added advantage.

At least 5 years of combined professional experience in one of the following industries: government health, IT management consulting, corporate IT, or equivalent information system design, development, and administration.

Ability to work well in a fast-paced environment with cross-functional teams to accomplish objectives.

Strong interpersonal skills, particularly motivational, negotiation, listening, judgment, analytic, and conflict management skills.

Proven ability to mentor, coach, and train through a variety of methods including online, face-to-face, or blended learning opportunities.

Background in public health, health care, or global health preferred.

Willingness to travel domestically up to 50 percent.

Proven expertise in use of Tableau, Excel, PowerBI, DHIS2, and other data management/visualization/analytical platforms

Excellent verbal and written communication skills.

",NA,NA,"Interested and qualified? Go to PATH career website on path.silkroad.com to apply",NA
"Economist/Statistician Interns",2017-12-21,2018-01-05,"Ministry of Environment and Natural Resources","Graduate Jobs / Internships +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>",NA,"

A minimum of an Upper Second Class Honours degree in Economics, or Economics and Mathematics, or Economic and Statistics from a recognized university/institution; or

A minimum of an Upper Second Class Honours degree in any of the subjects enumerated at above with a bias towards Computer Science, Operations Research, Survey Techniques and Demographic Techniques from a recognized university/institution; or

A minimum of an Upper Second Class Honours degree in Statistics with appropriate specialization from a recognized university/institution; or<U+00A0>

A postgraduate Bachelor of Philosophy degree in Economics from the University of Nairobi or equivalent institution or a post graduate diploma or Master's degree in subjects enumerated at (i) <U+0097> (iii) above.

Certificate in Computer Application skills from a recognized institution.

",NA,NA,"Interested candidates are requested to submit their application letters having enclosed copies of their curriculum vitae, academic and professional certificates to reach the office of the undersigned, on or before 5th January, 2018.",15
"Finance & Data Entry Internships",2017-12-19,NA,"Bimas Kenya Limited","Administration / Secretarial + Finance / Accounting / Audit +Graduate Jobs / Internships +","Nairobi","Full Time","Banking / Financial Services","KCSE <U+00A0>",NA,"

Must be computer literate

Have attained a Minimum of C plain at KCSE

Be at least 23 years and above

Must have a minimum of CPA part 2

Be willing and ready to use a motorbike ( those with a valid riders license will have an added advantage)

Be a person of high integrity, results-oriented, open to learning, fast learner, self-driven and a team player.

",NA,NA,"Indicate the location and title as your email subject and send your application to the address below. Click here to download internship application form and attach your CV",NA
"Monitoring & Evaluation Data Manager",2017-12-13,NA,"One Acre Fund","NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Interested and qualified? Go to One Acre Fund career website on form.jotformpro.com to apply",NA
"Cash Transfer Database Manager <U+0096> Nairobi",2017-12-11,2017-12-21,"International Committee of the Red Cross","NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

5 years",NA,NA,NA,"Apply by sending your cover letter and CV addressed to the Human Resources Manager, ICRC Somalia Delegation, on the email address sok_hrrec_services@icrc.org. Your cover letter must indicate your current salary and your expected salary range. The closing date is 21st December 2017. Please indicate the position title in the subject line of your email message.",10
"Data Scientist",2017-12-11,2017-12-16,"Kava","ICT / Computer +","Nairobi","Full Time","Banking / Financial Services","BA/BSc/HND <U+00A0>",NA,"

Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.

Ability to work with both structured and unstructured data and come up with solutions and strategies to business challenges.

Ability to process data and present it through visuals and communicate to both a technical and non-technical audience.

Knowledge of advanced statistical techniques and concepts.

Experience working with and creating data architectures.

Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.

Ability to develop custom data models and algorithms to apply data sets.

Ability to develop processes and tools to monitor and analyze model performance and data accuracy.

","

Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.

Ability to work with both structured and unstructured data and come up with solutions and strategies to business challenges.

Ability to process data and present it through visuals and communicate to both a technical and non-technical audience.

Knowledge of advanced statistical techniques and concepts.

Experience working with and creating data architectures.

Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.

Ability to develop custom data models and algorithms to apply data sets.

Ability to develop processes and tools to monitor and analyze model performance and data accuracy.

",NA,"If you meet this qualifications and would like to join our team of professionals, kindly send your CV and Cover letter to recruit@kava.africa before the end of day 16th December 2017.",5
"Data Analyst",2017-12-11,2017-12-16,"Kava","ICT / Computer +","Nairobi","Full Time","Banking / Financial Services","BA/BSc/HND <U+00A0>",NA,NA,"

Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data.

Ability to clean up, manipulate, analyse and interpret complex data sets relating to the business

Analyzing interesting trends found in the data.

Creating visualizations and dashboards to help the company interpret and make decisions with the data.

Experience in preparing and presenting reports for internal and external audiences using business analytics reporting tools.

Exposure to a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)

",NA,"If you meet this qualifications and would like to join our team of professionals, kindly send your CV and Cover letter to recruit@kava.africa before the end of day 16th December 2017.",5
"Microsoft Database Administrator",2017-12-05,NA,"Cygnet Systems Ltd","ICT / Computer +","Nairobi","Full Time","ICT / Telecommunication","BA/BSc/HND <U+00A0>","

3 years","

<U+00A0>Ensure all database servers are backed up in a way that meets the business<U+0092>s Recovery Point Objectives (RPO)

Test backups to ensure we can meet the business<U+0092> Recovery Time Objectives (RTO)

Troubleshoot SQL Server service outages as they occur, including after-hours and weekends

Configure SQL Server monitoring utilities to minimize false alarms

As new systems are brought in-house, choose whether to use clustering, log shipping, mirroring, Windows Azure, or other technologies

Install, configure and deploy new SQL Servers

Deploy database change scripts provided by third party vendors

When performance issues arise, determine the most effective way to increase performance including hardware purchases, server configuration changes, or index/query changes

Document the company<U+0092>s database environment

Manage Windows servers

Provide application support to end users

Build and deploy new Windows servers

","

Bachelor<U+0092>s Degree In IT, Software Engineering, IT Or Related Fields From A Recognized University

Experience managing virtual servers using VMWare or HyperV platforms

Experience working with Windows server, including Active Directory and proper disk configurations.

Microsoft SQL DBA Certification will be considered a big plus

MCSE certification will be considered a plus

Experience in troubleshooting and resolving database issues such as database integrity, performance, blocking and deadlocking, replication amongst others.

Experience in Performance Tuning, Query Optimization, using Performance Monitor, SQL Profiler and other related monitoring and troubleshooting tools.

Experience with backups, restores and recovery models.

Knowledge of High Availability (HA) and Disaster Recovery (DR) options for MSSQL Server.

Knowledge of indexes, index management, and statistics.

Ability to write and troubleshoot SQL Code and design (stored procedures, functions, tables, views, triggers, indexes, constraints)

Knowledge in a scripting language like PowerShell will be a plus

At least 3 years<U+0092> experience in performing in a similar role

Ability To Communicate Technical Issues With Non-Technical Users

Sound Analytical, Interpersonal And Communication Skills

",NA,"If you are interested to join our team, please submit your resume and cover letter to careers@cygnet.co.ke",NA
"Senior Statistician",2017-12-05,2017-12-29,"Retirement Benefits Authority","Finance / Accounting / Audit +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0> MBA/MSc/MA <U+00A0>",NA,"

Study and assimilate the obtaining situation and operations of the pensions industry

Identify the emerging problems prevalent in the industry

Analyze individual problems for pertinent details and complications

Develop Data Banks from which quick, simple appropriate information pertaining to the industry can be retrieved in a format that is easily analyzable to inform desired change in the industry.

Prepare publications, e.g., Statistical Digests, etc., with basic summary statistics on a regular basis

",NA,NA,"Use the link(s) below to apply on company website.",24
"Data Scientist",2017-11-30,2017-12-15,"Zeepo","ICT / Computer +","Nairobi","Full Time","Banking / Financial Services","BA/BSc/HND <U+00A0>","

2 years","

Create value-adding analytic systems, toolsets and processes that support user acquisition, user engagement, usage growth and retention.

Work in a multi-disciplined team where you<U+0092>ll take full ownership of turning discoveries and ideas into machine learning models.

Our ideal candidate is result-focused, innovative and has solid quantitative background and a good business understanding.

Ability to transform large, complex datasets into pragmatic, actionable insights and in turn quantify and influence tangible business gain.

Ability to see beyond the numbers, be the voice of data when communicating to decision makers, product owners and other business leaders.

Create insightful data visualizations that highlight trends.

Preparing periodic, continuous and ad hoc reports clearly showing business trends and customer behavior.

Monitor product lifecycle and highlight early signs of product use change.

","

Bachelor<U+0092>s Degree in Statistics, Actuarial Science, Computer Science or Economics. Must show experience in data analysis.

2 years working experience in a reporting / data analysis role(s) and environments.

Experience in using SQL based data mining and analysis required.

Result-focused, innovative and has solid quantitative background and a good business understanding.

Experience with common data science toolkits

A good scripter able to use analysis tools creatively to programmatically answer complex business questions in a data driven approach at relative speed.

Good applied statistics skills and experience, such as distributions, statistical testing, regression, etc.

Demonstrate that he/she has a good understanding of data cleaning and transformation techniques.

Entrepreneurial, Positive, people-oriented, and energetic attitude.

Ability to work under pressure with minimal supervision and meet assignment deadlines through personal initiatives on several simultaneously assigned tasks.

",NA,"If you meet this qualifications and would like to join our team of professionals, kindly send your CV to recruit@kava.africa indicating the job title as the subject of your email before the end of day 15th December 2017.",15
"Oracle Database Administrator",2017-11-29,NA,"Cygnet Systems Ltd","ICT / Computer +","Nairobi","Full Time","ICT / Telecommunication","BA/BSc/HND <U+00A0>","

3 years","

Providing Support For Oracle Applications R11i/R12.

Performance Monitoring And Tuning Of Databases, Oracle Application Servers And E-Business Software

Backup And Recovery Of Oracle EBS R12 Running On Oracle 11g

Planning, Testing And Performing Software Upgrades

Problem Management [I.E., Problem Identification, Management And Resolution]; Patch Analysis And Patch Application

Assisting With Database Loads And Data Conversion Activities

Cloning And Supporting Environments, Sr Resolution

Analyze Storage Utilization And Overall Capacity Planning For The EBS

Supporting The EBS Services In A 7 X 24 High Availability Environment.

Actively Manage Incidents To Ensure Compliance Against Measurable Service Within Documented Tolerances And Service Levels

",NA,NA,"If you are interested to join our team, please submit your resume and cover letter to careers@cygnet.co.ke",NA
"Database Administrator",2017-11-27,2017-12-01,"Strathmore University","ICT / Computer +","Nairobi","Full Time","Education / Teaching / Information","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"If you are interested in the position and have the skills we are looking for, we would like to hear from you. Please forward an application letter together with a copy of your updated resume quoting <U+0091>Program Manager -BMIA<U+0092> to the Human Resource Manager, Strathmore Business School, to careers@sbs.ac.ke by end of the day (5:30 Pm) Friday 1st December 2017.",4
"Senior M&E, Senior Data use Advisor",2017-11-23,2017-12-04,"Palladium International","ICT / Computer +","Nairobi","Full Time","Consulting","MBA/MSc/MA <U+00A0>","

5 years","

Develop and update project M&E Plan, including identifying appropriate indicators and design of data collection system for the project to collect and report on data to measure performance and achievement of project objectives

Provide technical assistance to promote monitoring and evaluation strategies to facilitate data usage and ownership in a manner that enhances the program and promotes sustainability

Increase capacity of the facility staff, HRIOs for the identification of data needs and the collection, analysis and usage for informed decision making

Design and conduct program evaluations in line with PEPFAR evaluation standards of practice to assess program impact and effectiveness

Develop and oversee implementation of the project?s strategies for increasing data demand and use for decision-making in HIV care and treatment

Coordinate Stakeholders in M&E fields to identify and respond to their requirements for Health information products.

Lead the Development of information products on HIS platforms for monitoring 90-90-90 progress at facillity, service delivery levels, county and National levels.

Increase health facility demand for quality information, methods and tools, and facilitation of information use for decision making

Oversee regular data quality procedures to ensure that data reported by the facilities meet accepatable and defined standards of data quality; and report the findings of the data quality procedures

Provide technical assistance to local implementing partners? to develop systems for the continual collection, analysis, and presentation of data, and build the capacity of these partners to interpret and report on their progress and achievements.

Stay abreast of current literature relevant to HIV care and treatment and disseminate information through abstracts and manuscripts in conferences and peer reviewed journals

Conduct trainings to HRIOs, CHRIOs and other stakeholders on data demand and information use

","

Master?s degree in public health, epidemiology, statistics, mathematics, demography, social sciences, or health-related field.

Minimum of five years? experience working with public health programs, preferably in health systems strengthening, monitoring and evaluation is required.

Experience working with HIV/AIDS programs or related health service programs is required.

Must have knowledge of the Kenyan HIV/AIDS context, especially the Kenya AIDS Strategic Framework (KASF) and the UNAIDS goals

Must have familiarity with public health and HIV/AIDS programming and data collection, analysis and presentation.

Must have knowledge of monitoring and surveillance systems and knowledge of current MER tools and systems in resource limited and data poor environments.

Must have strong writing skills knowledge of developing abstracts and mansucripts

Must have strong quantitative and analytical skills

Knowledge statistical analysis packages such SAS, Epi-Info, Stata and data visualization techniques is desirable

Must have proficiency in Microsoft Office applications.

Hands-on Knowledge of Tableau will be an added advantage

",NA,"Interested and qualified? Go to Palladium International career website on thepalladiumgroup.com to apply",11
"Data Clerk - Rachuonyo, Kenya",2017-11-21,NA,"Aids Healthcare Foundation Ahf","Administration / Secretarial +","Nairobi","Full Time","Healthcare / Medical","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Interested and qualified? Go to AIDS Healthcare Foundation (AHF) career website on careers-aidshealth.icims.com to apply",NA
"Data Scientist",2017-11-20,NA,"Koko Networks","ICT / Computer +","Nairobi","Full Time","ICT / Telecommunication","BA/BSc/HND <U+00A0>","

2 years",NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Data Systems Associate",2017-11-20,NA,"Komaza Kenya","ICT / Computer +","Nairobi","Full Time","Agriculture / Agro-Allied","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Interested and qualified? Go to Komaza Kenya career website on jobs.jobvite.com to apply",NA
"Data Systems Associate",2017-11-17,NA,"Komaza Kenya","ICT / Computer +","Nairobi","Full Time","Agriculture / Agro-Allied","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Nursery Data Systems Associate",2017-11-17,NA,"Komaza Kenya","ICT / Computer +","Nairobi","Full Time","Agriculture / Agro-Allied","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Regional Economic Security Data and Analysis Specialist",2017-11-16,2017-12-04,"International Committee of the Red Cross","NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0> MBA/MSc/MA <U+00A0>","

5 - 7 years",NA,NA,NA,"Interested and qualified? Go to International Committee of the Red Cross (ICRC) career website on career012.successfactors.eu to apply",18
"Data Scientist",2017-11-15,NA,"Crop Nutrition Laboratory Services Ltd","ICT / Computer +","Nairobi","Full Time","Research","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Interested and qualified? Go to Crop Nutrition Laboratory Services Ltd career website on www.linkedin.com to apply",NA
"Data Architect",2017-11-14,NA,"Mode Mobile Decisioning Holdings Ltd","ICT / Computer +","Nairobi","Full Time","ICT / Telecommunication","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Database Administrator",2017-11-13,NA,"Commercial Bank of Africa Ltd Cba","ICT / Computer +","Nairobi","Full Time","Banking / Financial Services","BA/BSc/HND <U+00A0>","

5 years",NA,NA,NA,"Interested and qualified? Go to Commercial Bank of Africa Ltd (CBA) career website on cbagroup.com to apply",NA
"Database Administration",2017-11-12,NA,"Commercial Bank of Africa Ltd Cba","ICT / Computer +","Nairobi","Full Time","Banking / Financial Services","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Data Entry Clerk",2017-11-10,NA,"Jobsikaz","ICT / Computer +","Nairobi","Full Time","Consulting","<U+00A0>",NA,NA,"

Pharmaceutical background is an added advantage.

The individual must have good computer knowledge and really fast and accurate with data entry.

",NA,"If you meet the above requirements please send your CV to<U+00A0>jobs@jobsikaz.com. We will only contact shortlisted candidates.",NA
"Data Analyst",2017-11-10,2017-11-17,"The International Center for Reproductive Rights","ICT / Computer +","Nairobi","Full Time","NGO / Non-Profit Associations","MBA/MSc/MA <U+00A0>","

5 years",NA,NA,NA,"Applicants must upload their application letter, an up-to-date CV with names and addresses of three referees and telephone contacts and the bio data form",7
"Data Scientist",2017-11-08,NA,"Lendable Marketplace","ICT / Computer +","Nairobi","Full Time","Banking / Financial Services","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Interested and qualified? Go to Lendable Marketplace career website on www.linkedin.com to apply",NA
"SIMS Data Analyst",2017-11-05,NA,"International Business Technical Consultants","Consultancy +","Nairobi","Full Time","Consulting","MBA/MSc/MA <U+00A0>",NA,NA,NA,NA,"Interested and qualified? Go to International Business & Technical Consultants, Inc. (IBTCI) career website on careers2-ibtci.icims.com to apply",NA
"Recruitment Outreach and Data Specialist",2017-11-02,NA,"One Acre Fund","Human Resources / HR +","Nairobi","Contract","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

2 years max","

Referral Program Administration <U+0096> One Acre Fund has an innovative referral program which engages our staff members to refer people in their networks to open roles across the organization. The largest area of the Recruitment Specialist<U+0092>s role will be to oversee and execute the administration of the Referral Program.

Program Coordination <U+0096> The Recruitment Specialist will ensure the Referral Program plan is up to date and all projects are on-track. They will also coordinate, set the agenda for, and lead regular program team meetings.

Staff Engagement <U+0096> The Recruitment Specialist will provide quality customer service to the 400+ staff participating in the program, as well as lead staff engagement initiatives which include bi-weekly newsletters, quarterly all-staff calls, quarterly campaigns, networking trainings, and resource and referral activity development.

Staff On/Offboarding <U+0096> As new staff members join the organization, the Recruitment Specialist will orient them to the referral program, and as staff leave, the Recruitment Specialist will be responsible for helping them understand how they can contribute to One Acre Fund<U+0092>s long term recruitment goals as alumni.

Reward Payouts <U+0096> Staff who participate in the Referral Program are eligible for incentives which are paid out monthly, quarterly, and annually. The Recruitment Specialist is responsible for cleansing our candidate data, preparing a <U+0093>scoreboard<U+0094> where staff have access to information about their referrals, and sending a list of rewards payouts to the Finance team for disbursement.

Reporting <U+0096> Because the Referral Program is one of One Acre Fund<U+0092>s top sources of hire, it is important for us to develop and review reliable metrics of program health. The

Recruitment Specialist will be responsible for regular reporting and analysis of referral data.

Program Planning Support <U+0096> The Recruitment Specialist will assist in setting the annual Referral Program strategy and development of the program plan.

Candidate Outreach <U+0096> Recruitment Specialists will use recruitment tools to identify and reach out to potential candidates. They will work with the larger Recruitment Team on the outreach strategies and follow-up with potential candidates.

Job Postings <U+0096> A majority of our applicants hear about opportunities at OAF via online postings. Recruitment Specialists will ensure that all job postings are up-to-date and continuously posted to relevant online job boards candidates

Event Support <U+0096> Recruitment Specialists will assist in the coordination of recruitment events offsite (researching events, coordinating, marketing) as well as helping to plan internal department and organizational events.

Research <U+0096> The Recruitment Specialist will play an integral part in ensuring our talent search is effective and successful and would be called on to complete research or specialized tasks to assist with innovative strategies to recruit talented applicants. Recruitment Specialists will complete periodic research on new outreach channels, partners, events or tools to improve our overall reach.

Miscellaneous <U+0096> We are a young organization that is growing rapidly. This means that all staffers pitch in to ensure we are providing the very best support and services to both our staffers and clients.

Program Fluency <U+0096> The Recruitment Specialist will work to understand our field program and all of the complexities of operating at scale. Program fluency is critical as the

Recruitment Specialist prepares to represent One Acre Fund externally in interviews and at events.Informational Interviews <U+0096> Recruitment Specialists will conduct initial interviews with potential candidates to answer questions as they prepare their application.

Data Analysis Assistance <U+0096> Our team is constantly looking to optimize the recruitment process, and we collect a significant amount of data which Recruitment Specialists cleanse and analyze.

Administrative Tasks <U+0096> We are looking for a diligent and enthusiastic teammate who can tackle tasks quickly and accurately.

Additional Responsibilities After 6-12 Months In The Role

Referral Program Planning <U+0096> In addition to Referral Program administration, the Recruitment Specialist will work to assume full ownership of the program<U+0092>s vision, strategy, and planning.

Event Planning <U+0096> The Recruitment Specialist will begin by shadowing and assisting with event logistics, observing how they are conducted. As a Recruitment Specialist becomes more confident, experienced, and fluent in One Acre Fund<U+0092>s program, they will transition to taking on certain events (webinars and career fairs) themselves.

Special Projects <U+0096> The Recruitment Specialist will play an integral part in ensuring our talent search is effective and successful and would be asked to come up with innovative projects and recruitment strategies.

Candidate Interviews <U+0096> Recruiters complete anywhere from 4-12 interviews in a week. The Recruitment Specialist will begin shadowing interviews for 2-3 months before conducting them independently.

","

Relevant Experience <U+0096> Strong candidates are inspirational communicators and experienced networkers who will enthusiastically help One Acre Fund staff build their own networks.

Leadership <U+0096> We are looking for candidates with demonstrated leadership experience at work, or outside of work. Examples of demonstrated leadership experience include managing a team or initiating a new project. You should also be comfortable working in a fast-paced, innovative, results-driven environment.

Communication <U+0096> Excellent interpersonal skills and superior written communication skills.

Computer Skills <U+0096> Strong Excel skills are required. Referral Program administration requires the ability to build databases, use complex formulas and functions to mine candidate and staff data, perform analysis and offer recommendations.

Organizational Skills <U+0096> Superior organizational skills and meticulous attention to detail; the ability to perform tasks accurately and efficiently. The ability to multi-task while effectively prioritizing. The routine tasks of the Recruitment Specialist will often have non-flexible deadlines.

Education <U+0096> Top-performing academic performance. Please include grades and test scores on your CV.

Language <U+0096> Fluent in English. Kinyarwanda and Swahili preferred. French desirable.

",NA,"Interested and qualified? Go to One Acre Fund career website on oneacrefund.org to apply",NA
"Research Assistant - Innovation Data Lab",2017-11-02,NA,"Samuel Hall","NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,"

Support Project Lead on one or more research projects;

Conduct secondary research and literature reviews;

Assist in the design of research tools and research frameworks;

Monitor fieldwork <U+00A7> Conduct advanced data analysis on SPSS, Stata or Excel;

Write draft report sections, concept notes and other research materials;

Assist the team in the development in a consolidated database containing datasets previously collected by Samuel Hall in different environments and contexts;

Conduct stakeholder mapping to investigate potential partnership opportunities.

",NA,NA,"Applicants should send their cover letter and CV in separate PDF files, each labelled: <U+0091>CL/CV <U+0096> Full name of Applicant<U+0092> with the e-mail subject line using the following format: <U+0091>Name <U+0096> Innovation Pillar RA<U+0092> to careers@samuelhall.org. Three samples of relevant work should also be included, showcasing your ability to write, analyse data/information and construct an argument. These can be (excerpts from) a thesis, university essays, articles, reports, op-eds, posters, etc.",NA
"Monitoring and Evaluation Data Officer",2017-11-02,2017-11-21,"Lwala Community Alliance Lca","NGO/Non-Profit +","Migori","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

2 years","

Creation of Organizational M and E Systems and Protocols



Work with the CHSD to develop overall organization M&E strategy and appropriate indicators to track across program areas

Ensure all outcomes and targets are measurable and make sure teams have necessary tools to track objectives, activities, and indicators.

This includes the creation of monitoring and evaluation tools for data capture and training staff on how to use the tools

Monitor data and evaluate trends.

Ensure all relevant grant specific data is captured

Assist as needed with development of M&E frameworks and workplans for grants and new funding opportunities





Training Staff of M and E Systems and Protocols



Provide support to Team

Leads to ensure data is accurately captured and tracked on a monthly basis for existing and new programs.

Train staff in M&E protocols, tools, database, story gathering, and reporting.





Maintenance of Systems for Reporting



Schedule and oversee regular monitoring activities of programs.

Ensure that database is updated and accurate.

Assist with routine data gathering as requested on statistics for department, grant, and funder reporting

Track and document success stories





Reporting and Feedback



Work with departments to publicly display key department indicators to share progress and successes in a visible way for other staff and community members to see

Compile and submit monthly M & E budget and performance reports





External Relationships



Represent M&E department in stakeholder meetings and community dialogue days

Participate in partner visits and workshops

Serve as on the ground point person for the external evaluation team





",NA,NA,"Applicants should please email CV and a cover letter to admin@lwalacommunityalliance.org with <U+0093>M&E Data Officer<U+0094> in the subject line, on or before 21st November 2017. Also include your salary expectations in your cover letter.",19
"Data Clerk",2017-11-01,NA,"Aids Healthcare Foundation Ahf","Administration / Secretarial +NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Global Data Manager",2017-11-01,NA,"Aids Healthcare Foundation Ahf","NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Data Analyst",2017-10-30,NA,"Greenlight Planet","ICT / Computer +","Nairobi","Full Time","Power / Energy","BA/BSc/HND <U+00A0>",NA,"

Analyze and interpret large amounts of data to identify trends, gaps, and inconsistencies.

Produce data for assigned clients and prepare information for client presentation.

Create new processes for data extraction and suggest automation tools for day-to-day analyses.

Provide support to data science team and clients by responding to ad-hoc data requests, answering questions, and providing basic technical support and analysis

Turn data into insight and communicate your findings effectively

Attend occasional late-night and early-morning meetings with colleagues around the world

",NA,NA,"Use the link(s) below to apply on company website.",NA
"Data Integrity Manager",2017-10-25,NA,"Church World Service","ICT / Computer +NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

3 - 8 years","

Serves as RPC focal point for all WRAPS Release Notes, requests for information and the Helpdesk.

Ensures that information from RPC is disseminated to RSC Africa programs staff in a timely manner and that feedback and questions from staff is analysed and collated for onward submission to RPC.

Ensures departmental compliance to all relevant requirements found in the PRM Program Integrity guidelines and the Cooperative Agreement.

Directly supervises the Data Integrity Supervisor and the File Library Supervisor, and manages their daily workloads.

Works closely with Reports Analysts to develop reports which monitor staff efficiency and data entry accuracy for overall quality control and improvement.

Oversees all standard and ad hoc reports generated by DIU staff and monitors for accuracy, precision, and timely distribution.

Works closely with WRAPS Trainer and RSC Africa program management to develop regular needs assessments as well as training programs and materials for staff to ensure staff members are fully trained in WRAPS functions.

Oversees an Annual Process Review of each departmental unit in RSC Africa programs divisions, which contains a full review of the unit<U+0092>s reporting tools, SOP adherence, & file security procedures.

Works closely with the RSC IT Team to ensure WRAPS data security.

Participates in regularly scheduled meetings with Operations management in regard to report development, training needs, and WRAPS functionality.

Travels to the field to assess field team training needs and conduct on-site training as necessary.

Perform any other duty as assigned.

",NA,NA,"Interested and qualified? Go to Church World Service career website on rscafrica.applicantstack.com to apply",NA
"Associate <U+0096> Data Processing and Analysis",2017-10-25,NA,"Evidence Action","ICT / Computer +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0> MBA/MSc/MA <U+00A0>","

2 years",NA,"

Bachelor<U+0092>s or Master<U+0092>s degree in economics, statistics or another quantitative field

A minimum of 2 years<U+0092> work experience in a highly analytical and quantitative role

Strong working knowledge of statistical software packages such as Stata, R, MatLab, SAS etc. with the ability to learn and adapt to new programs (experience with Stata and excel highly preferred)

Strong interest in research on public health, epidemiology, water, and/or sanitation; prior knowledge of the associated literature a plus

A working knowledge of geospatial analysis in ArcGIS/QGIS and mobile phone survey programming experience in Open Data Kit preferred (at minimum, willingness to learn and independently acquire new technical skills)

Strong interpersonal and communications skills to work effectively with a team that is geographically dispersed

Self-directed/self-motivating personality, with proven ability to manage demands from multiple supervisors while adhering to program deadlines and priorities

Strong critical and analytical thinking skills

Intellectual flexibility and willingness to form and adjust opinions based on evidence

Quick to learn, motivated to self-teach and capable of independently translating new knowledge into practice

",NA,"Interested and qualified? Go to Evidence Action career website on evidenceaction.bamboohr.com to apply",NA
"Data Analyst",2017-10-23,NA,"Greenlight Planet","ICT / Computer +","Nairobi","Full Time","Power / Energy","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Data Analyst",2017-10-23,2017-10-30,"Lead Consultants","LocationNairobi","SalaryKSh60 000 - KSh100 000","Full Time","ICT / Telecommunication","BA/BSc/HND <U+00A0>","

3 years","

Work with Management to identify and prioritize the overall key performance indicator based on the Strategic plan and annual strategic goals of the company.

The candidate should then identify and align the specific functional business units goals to the overall business objective

Possess Strong Analytical Skills, and illustrate proven experience of working with large amounts of data: facts and figures. The candidate will be tasked to make logical inferences, premised on sound analysis and interpretation

S/he should translate the data findings into an understandable template for management daily ease of use. This will include developing models like Quarterly Trend Analysis,

Month to date and week to date business performance against key indicators

Market intelligence based on competitor analysis and customer feedback (where applicable)

Create, define and maintain Data governance processes, rules , policies , standards and practices based on the ERP Automation set goals

Possess excellent Communication and interpersonal Skills, as well as oral and documentation skills. Should demonstrate excellent proficiency in MS office suites; especially Excel

",NA,NA,"Applicants should send CV only quoting the job title on the email subject to leadconsultant@hrbpsolutions.co.ke before 30th October 2017, indicate your current /expected salary and notice period.",7
